id,label,node_type
Unknown Person A (HOUSE_OVERSIGHT_010802),Unknown Person A (HOUSE_OVERSIGHT_010802),Entity
Unknown Person A (HOUSE_OVERSIGHT_022621),Unknown Person A (HOUSE_OVERSIGHT_022621),Entity
Unknown person A (HOUSE_OVERSIGHT_011304_part3) (HOUSE_OVERSIGHT_011304_part3),Unknown person A (HOUSE_OVERSIGHT_011304_part3) (HOUSE_OVERSIGHT_011304_part3),Entity
Unknown person A (HOUSE_OVERSIGHT_011314),Unknown person A (HOUSE_OVERSIGHT_011314),Entity
Unknown person A (HOUSE_OVERSIGHT_012180),Unknown person A (HOUSE_OVERSIGHT_012180),Entity
Unknown person A (HOUSE_OVERSIGHT_012355),Unknown person A (HOUSE_OVERSIGHT_012355),Entity
Unknown person A (HOUSE_OVERSIGHT_012661),Unknown person A (HOUSE_OVERSIGHT_012661),Entity
Unknown person A (HOUSE_OVERSIGHT_014424) (HOUSE_OVERSIGHT_014424),Unknown person A (HOUSE_OVERSIGHT_014424) (HOUSE_OVERSIGHT_014424),Entity
Unknown person A (HOUSE_OVERSIGHT_015393),Unknown person A (HOUSE_OVERSIGHT_015393),Entity
Unknown person A (HOUSE_OVERSIGHT_016449),Unknown person A (HOUSE_OVERSIGHT_016449),Entity
Unknown person A (HOUSE_OVERSIGHT_017590) (HOUSE_OVERSIGHT_017590),Unknown person A (HOUSE_OVERSIGHT_017590) (HOUSE_OVERSIGHT_017590),Entity
Unknown person A (HOUSE_OVERSIGHT_017796) (HOUSE_OVERSIGHT_017796),Unknown person A (HOUSE_OVERSIGHT_017796) (HOUSE_OVERSIGHT_017796),Entity
Unknown person A (HOUSE_OVERSIGHT_017818) (HOUSE_OVERSIGHT_017818),Unknown person A (HOUSE_OVERSIGHT_017818) (HOUSE_OVERSIGHT_017818),Entity
Unknown person A (HOUSE_OVERSIGHT_018610),Unknown person A (HOUSE_OVERSIGHT_018610),Entity
Unknown person A (HOUSE_OVERSIGHT_019082),Unknown person A (HOUSE_OVERSIGHT_019082),Entity
Unknown person A (HOUSE_OVERSIGHT_019083),Unknown person A (HOUSE_OVERSIGHT_019083),Entity
Unknown person A (HOUSE_OVERSIGHT_019136),Unknown person A (HOUSE_OVERSIGHT_019136),Entity
Unknown person A (HOUSE_OVERSIGHT_020402),Unknown person A (HOUSE_OVERSIGHT_020402),Entity
Unknown person A (HOUSE_OVERSIGHT_023304),Unknown person A (HOUSE_OVERSIGHT_023304),Entity
Unknown person A (HOUSE_OVERSIGHT_023314),Unknown person A (HOUSE_OVERSIGHT_023314),Entity
Unknown person A (HOUSE_OVERSIGHT_023731_part2) (HOUSE_OVERSIGHT_023731_part2),Unknown person A (HOUSE_OVERSIGHT_023731_part2) (HOUSE_OVERSIGHT_023731_part2),Entity
Unknown person A (HOUSE_OVERSIGHT_025491),Unknown person A (HOUSE_OVERSIGHT_025491),Entity
Unknown person A (HOUSE_OVERSIGHT_026287) (HOUSE_OVERSIGHT_026287),Unknown person A (HOUSE_OVERSIGHT_026287) (HOUSE_OVERSIGHT_026287),Entity
Unknown person A (HOUSE_OVERSIGHT_027735) (HOUSE_OVERSIGHT_027735),Unknown person A (HOUSE_OVERSIGHT_027735) (HOUSE_OVERSIGHT_027735),Entity
Unknown person A (HOUSE_OVERSIGHT_028632),Unknown person A (HOUSE_OVERSIGHT_028632),Entity
Unknown person A (HOUSE_OVERSIGHT_030308),Unknown person A (HOUSE_OVERSIGHT_030308),Entity
Unknown person A (HOUSE_OVERSIGHT_030528) (HOUSE_OVERSIGHT_030528),Unknown person A (HOUSE_OVERSIGHT_030528) (HOUSE_OVERSIGHT_030528),Entity
Unknown person A (HOUSE_OVERSIGHT_031054) (HOUSE_OVERSIGHT_031054),Unknown person A (HOUSE_OVERSIGHT_031054) (HOUSE_OVERSIGHT_031054),Entity
Unknown person A (HOUSE_OVERSIGHT_031988),Unknown person A (HOUSE_OVERSIGHT_031988),Entity
Unknown person A (TEXT-001-HOUSE_OVERSIGHT_025436),Unknown person A (TEXT-001-HOUSE_OVERSIGHT_025436),Entity
Unknown person A (TEXT-001-HOUSE_OVERSIGHT_027792),Unknown person A (TEXT-001-HOUSE_OVERSIGHT_027792),Entity
Unknown person A (college president) (HOUSE_OVERSIGHT_023731_part2) (HOUSE_OVERSIGHT_023731_part2),Unknown person A (college president) (HOUSE_OVERSIGHT_023731_part2) (HOUSE_OVERSIGHT_023731_part2),Entity
relationship between Brett and unknown person A (HOUSE_OVERSIGHT_012488),relationship between Brett and unknown person A (HOUSE_OVERSIGHT_012488),Entity
unknown person A (BE) (HOUSE_OVERSIGHT_012157),unknown person A (BE) (HOUSE_OVERSIGHT_012157),Entity
unknown person A (HOUSE_OVERSIGHT_010477) (HOUSE_OVERSIGHT_010477),unknown person A (HOUSE_OVERSIGHT_010477) (HOUSE_OVERSIGHT_010477),Entity
unknown person A (HOUSE_OVERSIGHT_010486_part1) (HOUSE_OVERSIGHT_010486_part1),unknown person A (HOUSE_OVERSIGHT_010486_part1) (HOUSE_OVERSIGHT_010486_part1),Entity
unknown person A (HOUSE_OVERSIGHT_010542),unknown person A (HOUSE_OVERSIGHT_010542),Entity
unknown person A (HOUSE_OVERSIGHT_010560) (HOUSE_OVERSIGHT_010560),unknown person A (HOUSE_OVERSIGHT_010560) (HOUSE_OVERSIGHT_010560),Entity
unknown person A (HOUSE_OVERSIGHT_010568),unknown person A (HOUSE_OVERSIGHT_010568),Entity
unknown person A (HOUSE_OVERSIGHT_010569),unknown person A (HOUSE_OVERSIGHT_010569),Entity
unknown person A (HOUSE_OVERSIGHT_010585),unknown person A (HOUSE_OVERSIGHT_010585),Entity
unknown person A (HOUSE_OVERSIGHT_010595),unknown person A (HOUSE_OVERSIGHT_010595),Entity
unknown person A (HOUSE_OVERSIGHT_010596),unknown person A (HOUSE_OVERSIGHT_010596),Entity
unknown person A (HOUSE_OVERSIGHT_010723) (HOUSE_OVERSIGHT_010723),unknown person A (HOUSE_OVERSIGHT_010723) (HOUSE_OVERSIGHT_010723),Entity
unknown person A (HOUSE_OVERSIGHT_010741),unknown person A (HOUSE_OVERSIGHT_010741),Entity
unknown person A (HOUSE_OVERSIGHT_010779),unknown person A (HOUSE_OVERSIGHT_010779),Entity
unknown person A (HOUSE_OVERSIGHT_010796),unknown person A (HOUSE_OVERSIGHT_010796),Entity
unknown person A (HOUSE_OVERSIGHT_010804),unknown person A (HOUSE_OVERSIGHT_010804),Entity
unknown person A (HOUSE_OVERSIGHT_010805),unknown person A (HOUSE_OVERSIGHT_010805),Entity
unknown person A (HOUSE_OVERSIGHT_010807),unknown person A (HOUSE_OVERSIGHT_010807),Entity
unknown person A (HOUSE_OVERSIGHT_010814),unknown person A (HOUSE_OVERSIGHT_010814),Entity
unknown person A (HOUSE_OVERSIGHT_010816),unknown person A (HOUSE_OVERSIGHT_010816),Entity
unknown person A (HOUSE_OVERSIGHT_010948),unknown person A (HOUSE_OVERSIGHT_010948),Entity
unknown person A (HOUSE_OVERSIGHT_010965),unknown person A (HOUSE_OVERSIGHT_010965),Entity
unknown person A (HOUSE_OVERSIGHT_011062),unknown person A (HOUSE_OVERSIGHT_011062),Entity
unknown person A (HOUSE_OVERSIGHT_011076),unknown person A (HOUSE_OVERSIGHT_011076),Entity
unknown person A (HOUSE_OVERSIGHT_011077),unknown person A (HOUSE_OVERSIGHT_011077),Entity
unknown person A (HOUSE_OVERSIGHT_011099),unknown person A (HOUSE_OVERSIGHT_011099),Entity
unknown person A (HOUSE_OVERSIGHT_011170_part2) (HOUSE_OVERSIGHT_011170_part2),unknown person A (HOUSE_OVERSIGHT_011170_part2) (HOUSE_OVERSIGHT_011170_part2),Entity
unknown person A (HOUSE_OVERSIGHT_011270),unknown person A (HOUSE_OVERSIGHT_011270),Entity
unknown person A (HOUSE_OVERSIGHT_011306),unknown person A (HOUSE_OVERSIGHT_011306),Entity
unknown person A (HOUSE_OVERSIGHT_011310),unknown person A (HOUSE_OVERSIGHT_011310),Entity
unknown person A (HOUSE_OVERSIGHT_011313),unknown person A (HOUSE_OVERSIGHT_011313),Entity
unknown person A (HOUSE_OVERSIGHT_011317),unknown person A (HOUSE_OVERSIGHT_011317),Entity
unknown person A (HOUSE_OVERSIGHT_011339),unknown person A (HOUSE_OVERSIGHT_011339),Entity
unknown person A (HOUSE_OVERSIGHT_011448),unknown person A (HOUSE_OVERSIGHT_011448),Entity
unknown person A (HOUSE_OVERSIGHT_011449),unknown person A (HOUSE_OVERSIGHT_011449),Entity
unknown person A (HOUSE_OVERSIGHT_011460),unknown person A (HOUSE_OVERSIGHT_011460),Entity
unknown person A (HOUSE_OVERSIGHT_011472_part1) (HOUSE_OVERSIGHT_011472_part1),unknown person A (HOUSE_OVERSIGHT_011472_part1) (HOUSE_OVERSIGHT_011472_part1),Entity
unknown person A (HOUSE_OVERSIGHT_011489),unknown person A (HOUSE_OVERSIGHT_011489),Entity
unknown person A (HOUSE_OVERSIGHT_011498),unknown person A (HOUSE_OVERSIGHT_011498),Entity
unknown person A (HOUSE_OVERSIGHT_011648),unknown person A (HOUSE_OVERSIGHT_011648),Entity
unknown person A (HOUSE_OVERSIGHT_011649),unknown person A (HOUSE_OVERSIGHT_011649),Entity
unknown person A (HOUSE_OVERSIGHT_011663),unknown person A (HOUSE_OVERSIGHT_011663),Entity
unknown person A (HOUSE_OVERSIGHT_011664),unknown person A (HOUSE_OVERSIGHT_011664),Entity
unknown person A (HOUSE_OVERSIGHT_011688),unknown person A (HOUSE_OVERSIGHT_011688),Entity
unknown person A (HOUSE_OVERSIGHT_011715),unknown person A (HOUSE_OVERSIGHT_011715),Entity
unknown person A (HOUSE_OVERSIGHT_011716),unknown person A (HOUSE_OVERSIGHT_011716),Entity
unknown person A (HOUSE_OVERSIGHT_011844),unknown person A (HOUSE_OVERSIGHT_011844),Entity
unknown person A (HOUSE_OVERSIGHT_011881),unknown person A (HOUSE_OVERSIGHT_011881),Entity
unknown person A (HOUSE_OVERSIGHT_011908_part1) (HOUSE_OVERSIGHT_011908_part1),unknown person A (HOUSE_OVERSIGHT_011908_part1) (HOUSE_OVERSIGHT_011908_part1),Entity
unknown person A (HOUSE_OVERSIGHT_011923),unknown person A (HOUSE_OVERSIGHT_011923),Entity
unknown person A (HOUSE_OVERSIGHT_011930),unknown person A (HOUSE_OVERSIGHT_011930),Entity
unknown person A (HOUSE_OVERSIGHT_011932),unknown person A (HOUSE_OVERSIGHT_011932),Entity
unknown person A (HOUSE_OVERSIGHT_011937),unknown person A (HOUSE_OVERSIGHT_011937),Entity
unknown person A (HOUSE_OVERSIGHT_012008),unknown person A (HOUSE_OVERSIGHT_012008),Entity
unknown person A (HOUSE_OVERSIGHT_012024),unknown person A (HOUSE_OVERSIGHT_012024),Entity
unknown person A (HOUSE_OVERSIGHT_012033),unknown person A (HOUSE_OVERSIGHT_012033),Entity
unknown person A (HOUSE_OVERSIGHT_012103) (HOUSE_OVERSIGHT_012103),unknown person A (HOUSE_OVERSIGHT_012103) (HOUSE_OVERSIGHT_012103),Entity
unknown person A (HOUSE_OVERSIGHT_012135_part1) (HOUSE_OVERSIGHT_012135_part1),unknown person A (HOUSE_OVERSIGHT_012135_part1) (HOUSE_OVERSIGHT_012135_part1),Entity
unknown person A (HOUSE_OVERSIGHT_012155),unknown person A (HOUSE_OVERSIGHT_012155),Entity
unknown person A (HOUSE_OVERSIGHT_012156),unknown person A (HOUSE_OVERSIGHT_012156),Entity
unknown person A (HOUSE_OVERSIGHT_012157),unknown person A (HOUSE_OVERSIGHT_012157),Entity
unknown person A (HOUSE_OVERSIGHT_012185),unknown person A (HOUSE_OVERSIGHT_012185),Entity
unknown person A (HOUSE_OVERSIGHT_012190),unknown person A (HOUSE_OVERSIGHT_012190),Entity
unknown person A (HOUSE_OVERSIGHT_012191),unknown person A (HOUSE_OVERSIGHT_012191),Entity
unknown person A (HOUSE_OVERSIGHT_012193),unknown person A (HOUSE_OVERSIGHT_012193),Entity
unknown person A (HOUSE_OVERSIGHT_012194),unknown person A (HOUSE_OVERSIGHT_012194),Entity
unknown person A (HOUSE_OVERSIGHT_012197_part1) (HOUSE_OVERSIGHT_012197_part1),unknown person A (HOUSE_OVERSIGHT_012197_part1) (HOUSE_OVERSIGHT_012197_part1),Entity
unknown person A (HOUSE_OVERSIGHT_012197_part2) (HOUSE_OVERSIGHT_012197_part2),unknown person A (HOUSE_OVERSIGHT_012197_part2) (HOUSE_OVERSIGHT_012197_part2),Entity
unknown person A (HOUSE_OVERSIGHT_012197_part3) (HOUSE_OVERSIGHT_012197_part3),unknown person A (HOUSE_OVERSIGHT_012197_part3) (HOUSE_OVERSIGHT_012197_part3),Entity
unknown person A (HOUSE_OVERSIGHT_012197_part4) (HOUSE_OVERSIGHT_012197_part4),unknown person A (HOUSE_OVERSIGHT_012197_part4) (HOUSE_OVERSIGHT_012197_part4),Entity
unknown person A (HOUSE_OVERSIGHT_012197_part5) (HOUSE_OVERSIGHT_012197_part5),unknown person A (HOUSE_OVERSIGHT_012197_part5) (HOUSE_OVERSIGHT_012197_part5),Entity
unknown person A (HOUSE_OVERSIGHT_012197_part7) (HOUSE_OVERSIGHT_012197_part7),unknown person A (HOUSE_OVERSIGHT_012197_part7) (HOUSE_OVERSIGHT_012197_part7),Entity
unknown person A (HOUSE_OVERSIGHT_012209),unknown person A (HOUSE_OVERSIGHT_012209),Entity
unknown person A (HOUSE_OVERSIGHT_012218),unknown person A (HOUSE_OVERSIGHT_012218),Entity
unknown person A (HOUSE_OVERSIGHT_012219),unknown person A (HOUSE_OVERSIGHT_012219),Entity
unknown person A (HOUSE_OVERSIGHT_012220),unknown person A (HOUSE_OVERSIGHT_012220),Entity
unknown person A (HOUSE_OVERSIGHT_012221),unknown person A (HOUSE_OVERSIGHT_012221),Entity
unknown person A (HOUSE_OVERSIGHT_012222),unknown person A (HOUSE_OVERSIGHT_012222),Entity
unknown person A (HOUSE_OVERSIGHT_012223),unknown person A (HOUSE_OVERSIGHT_012223),Entity
unknown person A (HOUSE_OVERSIGHT_012224),unknown person A (HOUSE_OVERSIGHT_012224),Entity
unknown person A (HOUSE_OVERSIGHT_012225),unknown person A (HOUSE_OVERSIGHT_012225),Entity
unknown person A (HOUSE_OVERSIGHT_012230),unknown person A (HOUSE_OVERSIGHT_012230),Entity
unknown person A (HOUSE_OVERSIGHT_012231),unknown person A (HOUSE_OVERSIGHT_012231),Entity
unknown person A (HOUSE_OVERSIGHT_012234),unknown person A (HOUSE_OVERSIGHT_012234),Entity
unknown person A (HOUSE_OVERSIGHT_012235),unknown person A (HOUSE_OVERSIGHT_012235),Entity
unknown person A (HOUSE_OVERSIGHT_012236),unknown person A (HOUSE_OVERSIGHT_012236),Entity
unknown person A (HOUSE_OVERSIGHT_012237),unknown person A (HOUSE_OVERSIGHT_012237),Entity
unknown person A (HOUSE_OVERSIGHT_012340),unknown person A (HOUSE_OVERSIGHT_012340),Entity
unknown person A (HOUSE_OVERSIGHT_012341),unknown person A (HOUSE_OVERSIGHT_012341),Entity
unknown person A (HOUSE_OVERSIGHT_012350),unknown person A (HOUSE_OVERSIGHT_012350),Entity
unknown person A (HOUSE_OVERSIGHT_012356),unknown person A (HOUSE_OVERSIGHT_012356),Entity
unknown person A (HOUSE_OVERSIGHT_012357),unknown person A (HOUSE_OVERSIGHT_012357),Entity
unknown person A (HOUSE_OVERSIGHT_012368),unknown person A (HOUSE_OVERSIGHT_012368),Entity
unknown person A (HOUSE_OVERSIGHT_012369),unknown person A (HOUSE_OVERSIGHT_012369),Entity
unknown person A (HOUSE_OVERSIGHT_012386),unknown person A (HOUSE_OVERSIGHT_012386),Entity
unknown person A (HOUSE_OVERSIGHT_012422),unknown person A (HOUSE_OVERSIGHT_012422),Entity
unknown person A (HOUSE_OVERSIGHT_012423),unknown person A (HOUSE_OVERSIGHT_012423),Entity
unknown person A (HOUSE_OVERSIGHT_012425),unknown person A (HOUSE_OVERSIGHT_012425),Entity
unknown person A (HOUSE_OVERSIGHT_012427),unknown person A (HOUSE_OVERSIGHT_012427),Entity
unknown person A (HOUSE_OVERSIGHT_012430),unknown person A (HOUSE_OVERSIGHT_012430),Entity
unknown person A (HOUSE_OVERSIGHT_012431),unknown person A (HOUSE_OVERSIGHT_012431),Entity
unknown person A (HOUSE_OVERSIGHT_012433),unknown person A (HOUSE_OVERSIGHT_012433),Entity
unknown person A (HOUSE_OVERSIGHT_012436),unknown person A (HOUSE_OVERSIGHT_012436),Entity
unknown person A (HOUSE_OVERSIGHT_012437),unknown person A (HOUSE_OVERSIGHT_012437),Entity
unknown person A (HOUSE_OVERSIGHT_012488),unknown person A (HOUSE_OVERSIGHT_012488),Entity
unknown person A (HOUSE_OVERSIGHT_012498),unknown person A (HOUSE_OVERSIGHT_012498),Entity
unknown person A (HOUSE_OVERSIGHT_012499),unknown person A (HOUSE_OVERSIGHT_012499),Entity
unknown person A (HOUSE_OVERSIGHT_012511),unknown person A (HOUSE_OVERSIGHT_012511),Entity
unknown person A (HOUSE_OVERSIGHT_012528),unknown person A (HOUSE_OVERSIGHT_012528),Entity
unknown person A (HOUSE_OVERSIGHT_012529),unknown person A (HOUSE_OVERSIGHT_012529),Entity
unknown person A (HOUSE_OVERSIGHT_012539),unknown person A (HOUSE_OVERSIGHT_012539),Entity
unknown person A (HOUSE_OVERSIGHT_012662),unknown person A (HOUSE_OVERSIGHT_012662),Entity
unknown person A (HOUSE_OVERSIGHT_012663),unknown person A (HOUSE_OVERSIGHT_012663),Entity
unknown person A (HOUSE_OVERSIGHT_012698),unknown person A (HOUSE_OVERSIGHT_012698),Entity
unknown person A (HOUSE_OVERSIGHT_012704) (HOUSE_OVERSIGHT_012704),unknown person A (HOUSE_OVERSIGHT_012704) (HOUSE_OVERSIGHT_012704),Entity
unknown person A (HOUSE_OVERSIGHT_012747_part1) (HOUSE_OVERSIGHT_012747_part1),unknown person A (HOUSE_OVERSIGHT_012747_part1) (HOUSE_OVERSIGHT_012747_part1),Entity
unknown person A (HOUSE_OVERSIGHT_012843),unknown person A (HOUSE_OVERSIGHT_012843),Entity
unknown person A (HOUSE_OVERSIGHT_012852),unknown person A (HOUSE_OVERSIGHT_012852),Entity
unknown person A (HOUSE_OVERSIGHT_012892),unknown person A (HOUSE_OVERSIGHT_012892),Entity
unknown person A (HOUSE_OVERSIGHT_012899_part4) (HOUSE_OVERSIGHT_012899_part4),unknown person A (HOUSE_OVERSIGHT_012899_part4) (HOUSE_OVERSIGHT_012899_part4),Entity
unknown person A (HOUSE_OVERSIGHT_012927),unknown person A (HOUSE_OVERSIGHT_012927),Entity
unknown person A (HOUSE_OVERSIGHT_013019),unknown person A (HOUSE_OVERSIGHT_013019),Entity
unknown person A (HOUSE_OVERSIGHT_013146),unknown person A (HOUSE_OVERSIGHT_013146),Entity
unknown person A (HOUSE_OVERSIGHT_013157),unknown person A (HOUSE_OVERSIGHT_013157),Entity
unknown person A (HOUSE_OVERSIGHT_013268) (HOUSE_OVERSIGHT_013268),unknown person A (HOUSE_OVERSIGHT_013268) (HOUSE_OVERSIGHT_013268),Entity
unknown person A (HOUSE_OVERSIGHT_013340),unknown person A (HOUSE_OVERSIGHT_013340),Entity
unknown person A (HOUSE_OVERSIGHT_013353),unknown person A (HOUSE_OVERSIGHT_013353),Entity
unknown person A (HOUSE_OVERSIGHT_013369),unknown person A (HOUSE_OVERSIGHT_013369),Entity
unknown person A (HOUSE_OVERSIGHT_013384),unknown person A (HOUSE_OVERSIGHT_013384),Entity
unknown person A (HOUSE_OVERSIGHT_013409),unknown person A (HOUSE_OVERSIGHT_013409),Entity
unknown person A (HOUSE_OVERSIGHT_013415) (HOUSE_OVERSIGHT_013415),unknown person A (HOUSE_OVERSIGHT_013415) (HOUSE_OVERSIGHT_013415),Entity
unknown person A (HOUSE_OVERSIGHT_013427),unknown person A (HOUSE_OVERSIGHT_013427),Entity
unknown person A (HOUSE_OVERSIGHT_013432),unknown person A (HOUSE_OVERSIGHT_013432),Entity
unknown person A (HOUSE_OVERSIGHT_013433),unknown person A (HOUSE_OVERSIGHT_013433),Entity
unknown person A (HOUSE_OVERSIGHT_013440) (HOUSE_OVERSIGHT_013440),unknown person A (HOUSE_OVERSIGHT_013440) (HOUSE_OVERSIGHT_013440),Entity
